시도,시군구,기준년도,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020
시도,시군구,기준년도,제1종,제2종,연습면허,무면허,기타불명,제1종,제2종,연습면허,무면허,국제면허,기타불명,제1종,제2종,연습면허,무면허,국제면허,기타불명,제1종,제2종,연습면허,무면허,국제면허,기타불명,해당없음,제1종,제2종,연습면허,무면허,국제면허,기타불명,해당없음,제1종,제2종,연습면허,무면허,국제면허,기타불명,제1종,제2종,연습면허,무면허,국제면허,기타불명,해당없음,제1종,제2종,연습면허,무면허,국제면허,기타불명,해당없음,제1종,제2종,연습면허,무면허,국제면허,기타불명,해당없음,제1종,제2종,연습면허,무면허,국제면허,기타불명,해당없음
서울,도봉구,사고건수,46,18,-,7,-,55,18,-,5,-,-,44,23,-,8,-,-,41,11,-,4,-,-,-,43,13,-,4,-,-,-,27,17,-,4,-,-,45,20,1,5,-,-,-,23,19,-,1,-,-,1,17,9,-,5,-,1,3,24,12,-,1,-,-,2
서울,도봉구,사망자수,0,2,-,0,-,2,0,-,0,-,-,1,0,-,0,-,-,1,0,-,1,-,-,-,1,0,-,0,-,-,-,0,0,-,0,-,-,2,1,0,0,-,-,-,0,0,-,0,-,-,0,0,1,-,0,-,0,0,0,0,-,0,-,-,0
서울,도봉구,부상자수,86,30,-,13,-,104,29,-,8,-,-,70,33,-,13,-,-,61,23,-,6,-,-,-,73,28,-,4,-,-,-,45,32,-,7,-,-,78,36,1,7,-,-,-,38,30,-,3,-,-,1,28,11,-,9,-,1,3,38,23,-,3,-,-,2
서울,은평구,사고건수,73,23,1,8,-,65,35,1,8,-,-,62,18,-,5,1,-,49,23,-,7,-,-,-,61,27,-,8,-,-,-,53,24,-,5,-,-,40,23,-,6,-,-,-,51,24,-,3,-,1,-,44,25,-,2,-,-,6,42,26,-,2,-,1,1
서울,은평구,사망자수,1,0,0,0,-,2,0,0,0,-,-,0,0,-,0,0,-,1,0,-,0,-,-,-,0,0,-,0,-,-,-,0,0,-,0,-,-,1,0,-,0,-,-,-,0,0,-,0,-,0,-,0,0,-,0,-,-,0,0,0,-,0,-,0,0
서울,은평구,부상자수,141,38,2,15,-,114,56,1,11,-,-,90,28,-,13,1,-,98,34,-,10,-,-,-,131,42,-,16,-,-,-,82,32,-,6,-,-,85,46,-,13,-,-,-,90,41,-,5,-,1,-,73,45,-,2,-,-,6,71,35,-,4,-,2,2
서울,서대문구,사고건수,59,29,-,4,-,62,26,-,6,-,-,42,23,-,2,-,-,51,23,1,9,-,-,-,43,21,-,4,-,-,-,53,19,-,2,-,1,29,22,-,1,-,-,-,31,25,-,2,-,-,-,19,13,-,2,-,-,1,32,9,-,2,-,-,1
서울,서대문구,사망자수,1,0,-,0,-,0,1,-,0,-,-,0,0,-,0,-,-,0,0,0,0,-,-,-,0,1,-,0,-,-,-,1,0,-,0,-,0,0,0,-,0,-,-,-,0,0,-,0,-,-,-,0,0,-,0,-,-,0,1,0,-,0,-,-,0
서울,서대문구,부상자수,104,41,-,4,-,112,43,-,8,-,-,106,40,-,3,-,-,75,33,1,11,-,-,-,69,37,-,4,-,-,-,107,28,-,4,-,2,45,37,-,1,-,-,-,49,46,-,3,-,-,-,30,21,-,7,-,-,1,56,17,-,2,-,-,1
서울,마포구,사고건수,117,51,-,7,1,110,49,-,7,1,-,137,63,-,13,-,1,121,58,-,8,-,-,-,126,62,-,11,-,-,-,104,67,-,6,1,-,119,59,-,6,-,-,-,101,49,-,7,-,-,2,74,36,-,6,1,-,1,59,25,-,3,-,-,1
