서울,마포구,사망자수,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,마포구,부상자수,336,26,37,26,25,19,24,38,24,32,31,28,26,292,36,25,16,19,24,42,19,26,33,21,22,9,211,15,11,22,12,22,9,10,23,24,25,10,28,166,13,19,10,7,18,16,17,16,11,15,14,10
서울,강서구,사고건수,122,15,5,5,15,5,7,8,14,15,14,12,7,137,11,11,12,12,12,11,12,16,9,12,16,3,110,8,8,6,7,8,11,3,11,9,16,14,9,120,12,12,10,8,11,12,4,17,13,6,5,10
서울,강서구,사망자수,1,0,0,0,0,0,0,0,0,1,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
서울,강서구,부상자수,223,35,10,8,23,9,11,16,28,25,22,28,8,265,31,23,28,23,26,16,24,30,17,19,24,4,166,14,9,11,14,15,18,5,17,10,20,20,13,181,18,21,17,13,12,19,8,22,19,12,6,14
서울,구로구,사고건수,119,13,10,13,12,5,9,12,8,4,7,15,11,119,16,11,15,10,6,13,6,4,9,5,12,12,103,13,6,8,11,5,11,5,8,11,6,8,11,119,9,13,12,6,9,8,16,8,10,8,15,5
서울,구로구,사망자수,2,0,0,0,0,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,1,0,0,0,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0
서울,구로구,부상자수,208,19,13,35,21,5,15,22,21,5,10,23,19,212,31,14,26,15,8,22,8,7,34,8,22,17,177,31,11,13,21,8,13,7,11,16,14,10,22,207,15,23,15,14,22,15,28,12,16,20,19,8
서울,영등포구,사고건수,179,13,18,9,9,10,23,17,14,14,14,17,21,172,20,12,13,18,11,15,13,15,20,15,7,13,114,7,7,10,17,8,7,6,10,9,6,13,14,129,14,10,15,15,9,8,8,8,11,8,12,11
서울,영등포구,사망자수,4,1,0,2,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0
서울,영등포구,부상자수,347,24,40,15,22,18,40,25,30,26,34,28,45,301,46,20,21,29,18,24,26,20,34,29,11,23,212,18,10,19,31,12,10,11,16,18,17,24,26,221,27,15,21,20,18,17,12,22,15,17,21,16
서울,동작구,사고건수,101,9,10,2,8,7,8,9,13,9,6,12,8,79,6,4,7,10,2,7,7,7,9,9,7,4,67,4,6,3,5,6,6,5,4,10,5,5,8,86,5,11,5,8,9,5,9,8,8,9,4,5
